frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
173,5752.9,28,505,465,,,,,,,91,51,520,,,,,,
174,5785.5,29,505,461,,,,,,,129,545,127,,,,,,
175,5817,31,505,444,,,,,,,103,749,384,,,,,,
176,5852.8,32,506,417,,,,,,,,,,,,,,,
177,5885.2,34,506,382,,,,,,,,,,,,,,,
178,5917.5,34,506,345,,,,,,,,,,,,,,,
179,5953,33,507,312,,,,,,,,,,,,,,,
180,5984.9,31,508,285,,,,,,,,,,,,,,,
181,6019.1,30,508,267,,,,,,,,,,,,,,,
182,6052.9,30,508,262,,,,,,,,,,,,,,,
183,6085,30,507,270,,,,,,,,,,,,,,,
184,6117.1,31,506,288,,,,,,,,,,,,,,,
185,6152.9,33,506,315,,,,,,,,,,,,,,,
186,6185.1,32,502,349,,,,,,,,,,,,,,,
187,6216.8,32,503,384,,,,,,,,,,,,,,,
188,6253.3,31,500,415,,,,,,,,,,,,,,,
189,6286.7,30,501,442,,,,,,,,,,,,,,,
190,6316.9,29,500,460,,,,,,,,,,,,,,,
191,6353,28,500,464,,,,,,,,,,,,,,,
192,6391.9,30,498,457,,,,,,,,,,,,,,,
193,6417.2,32,496,435,,,,,,,,,,,,,,,
194,6452.8,33,493,406,,,,,,,,,,,,,,,
195,6484.9,34,493,370,,,,,,,,,,,,,,,
196,6517.5,33,493,334,,,,,,,,,,,,,,,
197,6553,32,490,303,,,,,,,,,,,,,,,
198,6585,32,489,279,,,,,,,,,,,,,,,
199,6624.8,29,489,267,,,,,,,,,,,,,,,
200,6656.9,29,488,266,,,,,,,,,,,,,,,
201,6684.9,31,487,277,,,,,,,,,,,,,,,
202,6717.1,32,484,298,,,,,,,,,,,,,,,
203,6752.9,32,484,327,,,,,,,,,,,,,,,
204,6785.2,31,484,362,,,,,,,,,,,,,,,
205,6816.7,31,485,396,,,,,,,,,,,,,,,
206,6852.7,32,486,426,,,,,,,,,,,,,,,
207,6884.8,30,488,450,,,,,,,,,,,,,,,
